ID investigador,Fuente,ID autor Scopus,EID documento Scopus,Perfil en Google Scholar,ORCID id autor,DOI,Año,Título,Enlace al artículo,Autores,Fecha de publicación,Revista,Volumen,Número,Páginas,Editor,Resumen,Citas totales,Institución,Conferencia,Libro,Origen,Nombre Investigador,Inventores,Oficina de patentes,Número de patente,Número de solicitud
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:2P1L_qKh6hAC,,,,Estructura de las emociones dentro de un proceso de enseñanza-aprendizaje,https://www.scielo.org.mx/pdf/peredu/v33n131/v33n131a5.pdf,"Martha Mora-Torres, Ana Lilia Laureano-Cruces, Perla Velasco-Santos",2011/1,Perfiles educativos,33,131,64-79,"Instituto de Investigaciones sobre la Universidad y la Educación, UNAM","Este trabajo se centra en el diseño de una estructura de valoración emocional desarrollada para un sistema de aprendizaje inteligente. Esta estructura completará la información proveniente del usuario; de esta forma se pretende potenciar la eficacia de la intervención de este sistema de aprendizaje inteligente a través de la interfaz, representada por un agente pedagógico. Se resalta la importancia de las emociones en el proceso de enseñanza–aprendizaje y se elabora una propuesta que incluye una metodología de diseño. Lo anterior permite una representación del estado emocional del usuario en un momento dado.",Citado por 63,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:bEWYMUwI8FkC,,,,Cognitive-operative model of intelligent learning systems behavior,https://www.tandfonline.com/doi/pdf/10.1080/10494820802160872,"Ana Lilia Laureano-Cruces, Javier Ramírez-Rodríguez, Martha Mora-Torres, Fernando de Arriaga, Rafael Escarela-Perez",01/03/2010,Interactive Learning Environments,18,1,nov-38,Routledge,"In this paper behavior during the teaching–learning process is modeled by means of a fuzzy cognitive map. The elements used to model such behavior are part of a generic didactic model, which emphasizes the use of cognitive and operative strategies as part of the student–tutor interaction. Examples of possible initial scenarios for the teaching–learning process are developed, along with the results provided by the model.",Citado por 50,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:YFjsv_pBGBYC,,,,Cognitive task analysis: a proposal to model reactive behaviours,https://www.tandfonline.com/doi/pdf/10.1080/09528130110063092,"Ana Lilia Laureano-Cruces, Fernando De Arriaga-Gómez, María García-Alegre Sánchez",01/07/2001,Journal of Experimental & Theoretical Artificial Intelligence,13,3,227-239,Taylor & Francis Group,"A tentative analysis and design of behaviours to be implemented in robots has been developed. For that purpose we have analysed the human behaviour of the person who executes the robot task. Afterwards we have transferred this analysis to the robot in charge of the same task. The cognitive task analysis, a powerful tool coming from cognitive psychology, has been used to study the behaviour granularity of the robots. This analysis is of paramount importance because the implementation of more sophisticated robot behaviours depends on the appropriate selection of the basic robot behaviours. The paper introduces a brief explanation of different types of robot architectures, and our motivation, to give, later on, some ideas concerning the cognitive task analysis and the used methods; finally, as an example, the behaviour of a postman is modelled by using those tools to get the necessary behaviours for a robot in …",Citado por 50,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:0EnyYjriUFMC,,,,Design and implementation of an educational virtual pet using the OCC theory,https://link.springer.com/article/10.1007/s12652-011-0089-4,"Ana Lilia Laureano-Cruces, Arturo Rodriguez-Garcia",2012/3,Journal of Ambient Intelligence and Humanized Computing,3,,61-71,Springer-Verlag,"This paper presents the design and implementation of a virtual pet with educational purposes. Because owners experience a wide range of emotions as a result of interactions with their virtual pets, the goal of this software is capture the attention of children by taking advantage of the emotional ties which form, using playtime to introduce educative elements. With this in mind, it is possible to make conscious the process whereby children are most likely to quit eating candy to achieve healthy eating habits. It models a virtual pet using Ortony, Clore and Collins’ theory as a framework to implement a cognitive structure of emotions and a Behavior Cognitive Task Analysis to elucidate the components necessary to simulate behaviors. The designed system utilizes a fuzzy cognitive map like engine inference. The latter is the product of a causal matrix that takes into account all the elements included in the behavior …",Citado por 41,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:kNdYIx-mwKoC,,,,Comparison of two techniques for two-dimensional finite-element inductance computation of electrical machines,https://www.academia.edu/download/49796238/ip-epa_3A2005524220161022-8254-1oixyvs.pdf,"R Escarela-Perez, E Campero-Littlewood, MA Arjona-Lopez, A Laureano-Cruces",08/07/2005,IEE Proceedings-Electric Power Applications,152,4,855-861,IEE,"The modelling of electrical machines by equivalent circuits requires an appropriate calculation of inductance values. The energy-perturbation and flux-linkage methods have been devised (and extensively used) to determine inductance values of electrical machines from two-dimensional finite-element solutions. That both methods are numerically equivalent and give approximately the same values of inductance is shown. However, the flux-linkage method requires less computation resources and is numerically more robust than the energy perturbation method when two-dimensional calculated fields are used. Hence, it is concluded that the flux-linkage approach should be chosen as the preferred method for two-dimensional inductance calculation of electrical machines. The numerical characteristics and equivalence of the energy-perturbation and flux-linkage methods are demonstrated by calculating the time …",Citado por 36,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:7PzlFSSx8tAC,,,,Interacción dinámica en sistemas de enseñanza inteligentes,,A Laureano-Cruces,2000,,,,,,,Citado por 35,Tesis Doctoral. Instituto de Investigaciones Biomédicas/UNAM. http://delfosis. uam. mx/~ ana,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:O3NaXMp0MMsC,,,,Evaluation of the teaching-learning process with fuzzy cognitive maps,,"Ana Lilia Laureano-Cruces, Javier Ramírez-Rodríguez, Amador Terán-Gilmore",2004,,,,922-931,Springer Berlin Heidelberg,"The evaluation of the teaching-learning process is a conduct that poses great challenges from a modeling perspective. Tutor modules form part of intelligent systems that are applied to education, and should assess: when to interrupt, how to teach a given topic, and what to teach in a given moment. By considering the different types of errors, a good evaluation of the teaching-learning process allows the systems to adapt in an optimum form to different users. This paper proposes a design technique to model the conduct of an expert that evaluates the results of the teaching-learning process within a reactive learning environment. To achieve this, a fuzzy cognitive map, which is a representation recently proposed to model the conduct and operation of complex systems, is used. Bart Kosko introduced this type of maps in 1986 with the aim of describing the behavior of a system in terms of concepts and causal …",Citado por 32,,"Advances in Artificial Intelligence–IBERAMIA 2004: 9th Ibero-American Conference on AI, Puebla, Mexico, November 22-26, 2004. Proceedings 9",,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:WF5omc3nYNoC,,,,Multi-agent architecture for intelligent tutoring systems,https://www.tandfonline.com/doi/pdf/10.1076/ilee.6.3.225.3603,"Ana Lilia Laureano–Cruces, Fernando De Arriaga–Gómez",01/12/1998,Interactive Learning Environments,6,3,225-250,Taylor & Francis Group,"This paper shows a multi-agent architecture based on reactive agents for an intelligent tutoring system (ITS). The global system behavior is modeled taking into account the mental models and the cognitive task analysis. We present the basic characteristics of the reactive system in terms of reactive robotics, where they started. Next we introduce some definitions and schemes in order to characterize the multi-agent architecture. Finally, we present an ITS example called Makatsiná Makatsiná means tutor in TOTONACA, a Mexican pre-Spanish language. which teaches the skills necessary to solve a truss analysis problem by the joint method. This domain is an integration skill.",Citado por 31,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:RGFaLdJalmkC,,,,Emergency management for a nuclear power plant using fuzzy cognitive maps,https://www.sciencedirect.com/science/article/pii/S0306454908002041,"G Espinosa-Paredes, A Nuñez-Carrera, AL Laureano-Cruces, A Vázquez-Rodríguez, E-G Espinosa-Martinez",01/12/2008,Annals of Nuclear Energy,35,12,2387-2396,Pergamon,"This paper explores the application of fuzzy cognitive maps (FCM) to emergency operating procedures (EOPS), to represent the decision-making process during abnormal situations in a nuclear power plant (NPP). The decision-making process in a NPP is a complex process, due to the many elements involved in its operation, and the permanent attention demanded by its maintenance. At the present time, the decision making process in a NPP is analyzed and developed by reactor operators, based on a set of instructions as well as flow charts to mitigate the consequences of a broad range of transients, accidents and multiple equipment failures, whose main characteristic is to be linear representations of events within a scenario. One of the main objectives of this paper is to present a method based in FCM that could be applied in the development of EOPS, and show some simulations, specifically the loss of coolant …",Citado por 24,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:e5wmG9Sq2KIC,,,,Formal verification of multi-agent systems behaviour emerging from cognitive task analysis,https://www.tandfonline.com/doi/pdf/10.1080/0952813031000119719,"Ana Lilia Laureano-Cruces, Axel Arturo Barceló-Aspeitia",01/10/2003,Journal of Experimental & Theoretical Artificial Intelligence,15,4,407-431,Taylor & Francis Group,"The main goal of this paper is to present a novel formal approach to the verification of cognitive task analysis (CTA), an analytic tool that has been successfully used in the design of reactive behaviours, on multi-agent architectures. To achieve this, a formal logical system is developed, whose purpose is to formally check the possible success or failure of the resulting implementation. This logic's focus is on modelling an agent's behaviour based on her goals, perceptions and actions. The article starts by giving a brief introduction to current research in reactive systems and cognitive task analysis. Simple definitions are offered of the basic concepts in these fields: agent, object, reactive behaviour, control, etc. As illustration, the paper offers the results of applying CTA to a simple model of postal delivery. Then, the syntax and semantics of the proposed logic are defined. Finally, the logic is applied to the verification of …",Citado por 23,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
